variable,data_source,collection_or_version,temporal_coverage,aggregation,resolution,crs,aoi_availability,existing_artifact_path,missing_aoi,scientific_suitability,requires_new_gee_export,verdict,notes
baseline_lst_mean,Landsat 8 Collection 2 T1 L2,LANDSAT/LC08/C02/T1_L2,"4 baseline years per AOI; 2017-2020 for manavgat/mugla/evia_extended, 2018-2021 for bejis",nanmean over 4 yearly QA-masked window medians; window ends on the AOI-specific anniversary of predictor_end_date,30 m,EPSG:4326,all_four,outputs/experiments/<exp>/step5/baseline_lst_mean_celsius.tif,none,"NOT a climate normal. 4 years not 30; reference period differs for bejis; anniversary date and window width differ per AOI (07-27/08-14/07-28/08-02, 56/60/57/58 days); cloud coverage 47.8-77.3 percent; single variable; clear-sky surface temperature confounded with the land cover and vegetation state the AoA already measures.",no,REJECTED,"The closest multi-year artifact in the repository, and still not usable. Six independent defects; defect 6 (LST is not air temperature and is collinear with the predictors) is decisive on its own."
baseline_lst_std,Landsat 8 Collection 2 T1 L2,LANDSAT/LC08/C02/T1_L2,same as baseline_lst_mean,nanstd over the 4 yearly window medians,30 m,EPSG:4326,all_four,outputs/experiments/<exp>/step5/baseline_lst_std_celsius.tif,none,Interannual spread of 4 samples. Not a climate variable; an n=4 dispersion estimate.,no,REJECTED,Used as the denominator of lst_anomaly_mean. Not a climate normal.
baseline_tvdi_mean,derived from Landsat LST and NDVI,LANDSAT/LC08/C02/T1_L2,same 4 baseline years per AOI,ndvi_binned_dry_wet_edge_tvdi over the baseline composites,30 m,EPSG:4326,all_four,outputs/experiments/<exp>/step5c/baseline_tvdi_mean.tif,none,"Inherits every defect of baseline_lst_mean and adds full dependence on the AOI-internal NDVI-LST feature space, which current_tvdi_mean and tvdi_difference_mean already contribute to the predictor-space dissimilarity.",no,REJECTED,"Doubly disqualified: not a climate normal, and collinear with existing predictors."
baseline_ndvi,Landsat 8 Collection 2 T1 L2,LANDSAT/LC08/C02/T1_L2,same 4 baseline years per AOI,yearly QA-masked window medians,30 m,EPSG:4326,all_four,outputs/experiments/<exp>/data/ndvi_timeseries/ndvi_baseline_<year>-<mm-dd>.tif,none,"Vegetation state, not climate. Also already represented in the predictor set via ndvi_mean.",no,REJECTED,4 files per AOI. Same anniversary-window and reference-period mismatches.
modis_lst_mean,MODIS Terra daily LST,MODIS/061/MOD11A1,single fire season; the experiment predictor window only,mean/std over daily scenes within the predictor window,1000 m,EPSG:4326,all_four,outputs/experiments/<exp>/data/modis/modis_lst_mean_celsius.tif,none,"EVENT-PERIOD, not climate. The artifact metadata states verbatim: 'experiment predictor window (single-season mean/std over daily MODIS scenes within the window), NOT a multi-year baseline'.",no,REJECTED,Rejects itself in its own metadata. Windows differ per AOI and bejis is a different year entirely.
current_lst_mean,Landsat 8,LANDSAT/LC08/C02/T1_L2,single event season,median over the 56-60 day predictor window,30 m,EPSG:4326,all_four,step8a column,none,Event-period model predictor. Already inside the weighted dissimilarity.,no,FORBIDDEN,Using it as climate would double-count it and is the exact mislabelling the task prohibits.
current_tvdi_mean,derived,LANDSAT/LC08/C02/T1_L2,single event season,dry/wet edge TVDI over the predictor window,30 m,EPSG:4326,all_four,step8a column,none,Event-period model predictor.,no,FORBIDDEN,Same.
downscaled_lst_mean,Step7 downscaling model,derived,single event season,model output over the predictor window,30 m,EPSG:4326,all_four,step8a column,none,Event-period model predictor.,no,FORBIDDEN,Same.
fused_lst_mean,Step7 fusion,derived,single event season,fused Landsat + downscaled over the predictor window,30 m,EPSG:4326,all_four,step8a column,none,Event-period model predictor.,no,FORBIDDEN,Same.
lst_anomaly_mean,derived,LANDSAT/LC08/C02/T1_L2,event season vs 4 baseline years,(current_median - baseline_mean) / baseline_std,30 m,EPSG:4326,all_four,step8a column,none,"Contains a multi-year term but is a standardised anomaly OF THE EVENT SEASON, not a climatology. Its AOI mean measures how unusual that summer was -- a legitimate quantity, and not a climatic distance between AOIs.",no,FORBIDDEN,Superficially the most tempting candidate; still an event-period predictor already inside the AoA.
