artifact_role,experiment_id,path,kind,schema_or_format,analysis_id,sha256,git_tracked,status,used_by_component,notes
canonical_step8a_dataset,manavgat_2021,outputs/experiments/manavgat_2021/step8a/step8a_500m_modeling_dataset.parquet,parquet,step8a_500m_modeling_dataset,,054a1961fc0582a33d36413263668b63074b21ae8b03d12269b6e228787f3439,no,verified_match,weighted_dissimilarity,"Hash matches the task specification and the marginal_aoa.v1 comparison manifest. 24150 total rows; 20555 in the primary population."
canonical_step8a_dataset,bejis_2022,outputs/experiments/bejis_2022/step8a/step8a_500m_modeling_dataset.parquet,parquet,step8a_500m_modeling_dataset,,3dec785a7d8e31db2d67ed283546bbfbca1559f56df46663488d0afc24d9e393,no,verified_match,weighted_dissimilarity,"Hash matches. 15759 total rows; 15190 in the primary population."
canonical_step8a_dataset,mugla_2021,outputs/experiments/mugla_2021/step8a/step8a_500m_modeling_dataset.parquet,parquet,step8a_500m_modeling_dataset,,c4ab107db2207f9f20775ccc0b3bf39381173fd07d4e82f6821ce7f40be7db8e,no,verified_match,weighted_dissimilarity,"Hash matches. 73098 total rows; 41731 in the primary population after analysis_eligible filtering."
canonical_step8a_dataset,evia_2021_extended,outputs/experiments/evia_2021_extended/step8a/step8a_500m_modeling_dataset.parquet,parquet,step8a_500m_modeling_dataset,,bdce859cf482f575d0f273174b157f47efd61779953fdd23d9486c5face5e553,no,verified_match,weighted_dissimilarity,"Hash matches. 22925 total rows; 9298 in the primary population after analysis_eligible filtering."
step8a_dataset_stats,manavgat_2021,outputs/experiments/manavgat_2021/step8a/step8a_dataset_stats.json,json,step8a_dataset_stats,,,no,available,provenance,"Population counts, landcover class counts, feature missing counts, predictor paths."
step8a_dataset_stats,bejis_2022,outputs/experiments/bejis_2022/step8a/step8a_dataset_stats.json,json,step8a_dataset_stats,,,no,available,provenance,"Population counts and landcover class counts."
step8a_dataset_stats,mugla_2021,outputs/experiments/mugla_2021/step8a/step8a_dataset_stats.json,json,step8a_dataset_stats,,,no,available,provenance,"Population counts and landcover class counts. 38.9 percent of valid cells are permanent_water."
step8a_dataset_stats,evia_2021_extended,outputs/experiments/evia_2021_extended/step8a/step8a_dataset_stats.json,json,step8a_dataset_stats,,,no,available,provenance,"Population counts and landcover class counts. 57.7 percent of valid cells are permanent_water."
feature_importance,manavgat_2021,outputs/experiments/manavgat_2021/step8b/step8b_feature_importance.csv,csv,"population,model,feature,importance",,24a18effd1b7828d48f2d1507dec982111364d637cee2bb884e4b7178aa72ec5,no,primary_candidate,weighted_dissimilarity,"RandomForest impurity (Gini) importance. 16 rows at (burnable_tree_shrub_grass, thermal); sums to 1.0; min 0.0."
feature_importance,bejis_2022,outputs/experiments/bejis_2022/step8b/step8b_feature_importance.csv,csv,"population,model,feature,importance",,abc2a3b771d464dfac38597bbe6a0b425e6bec175bad860cc7a954fa005a3d49,no,primary_candidate,weighted_dissimilarity,"RandomForest impurity (Gini) importance. 16 rows at (burnable_tree_shrub_grass, thermal); sums to 1.0; min 0.0."
feature_importance,mugla_2021,outputs/experiments/mugla_2021/step8b/step8b_feature_importance.csv,csv,"population,model,feature,importance",,9077eb95f928e9d0a575d658c9c03fe5cb8ffa485b04ebddafc08b102451e3ce,no,primary_candidate,weighted_dissimilarity,"RandomForest impurity (Gini) importance. 17 rows at (burnable_tree_shrub_grass, thermal); sums to 1.0; min 0.0."
feature_importance,evia_2021_extended,outputs/experiments/evia_2021_extended/step8b/step8b_feature_importance.csv,csv,"population,model,feature,importance",,81995a6088f13b2d115a23be13917f561af264b5bdf1ef98b4fb940a15b6bf5a,no,primary_candidate,weighted_dissimilarity,"RandomForest impurity (Gini) importance. 17 rows at (burnable_tree_shrub_grass, thermal); sums to 1.0; min 0.0."
step8b_model_metrics,manavgat_2021,outputs/experiments/manavgat_2021/step8b/step8b_model_comparison_metrics.json,json,step8b_model_comparison_metrics,,8f17f0e5de89afb8ed64a2851c6f3bb87e548b5a7ab4e6741f6c48f2f8c5f7d2,no,available,provenance,"model=random_forest; spatial_cv_config.random_state=42. Establishes the model algorithm behind the importances."
step8b_model_metrics,bejis_2022,outputs/experiments/bejis_2022/step8b/step8b_model_comparison_metrics.json,json,step8b_model_comparison_metrics,,7be1421686ca517eb0db5f1c764546bcf6bda9ba3f5cfc8c61bc42d05c7c08e9,no,available,provenance,"model=random_forest; spatial_cv_config.random_state=42."
step8b_model_metrics,mugla_2021,outputs/experiments/mugla_2021/step8b/step8b_model_comparison_metrics.json,json,step8b_model_comparison_metrics,,b584d76e8812f604fb7a716bcf7a3da2071c4c50559a6fe6d6264af56cada406,no,available,provenance,"model=random_forest; spatial_cv_config.random_state=42."
step8b_model_metrics,evia_2021_extended,outputs/experiments/evia_2021_extended/step8b/step8b_model_comparison_metrics.json,json,step8b_model_comparison_metrics,,7a5b2b97a4bfe32202a982b5f411cbd01bbcf8075970e8790ccebf27498eeef1,no,available,provenance,"model=random_forest; spatial_cv_config.random_state=42."
step8b_predictions,manavgat_2021,outputs/experiments/manavgat_2021/step8b/step8b_predictions.parquet,parquet,step8b_predictions,,fb8f28f320c226d2aedfb8304912dc32e12df10f4aec0301c7747834a8963402,no,inspected_not_used,none,"Carries spatial_block_id and fold_id, but fold_id comes from StratifiedGroupKFold which consumes y. Deliberately NOT used; folds are recomputed label-free."
